fips,state_fips,year,death_supp,death_miss,deaths,population,crude_rate,expansion,post,treated,ever_missing_flag,count_year,pop_total,pct_white,pop_20_64,pct_55_64,log_20_64,log_35_44,log_f_20_64,unemp,state_abb
19103,19,2016,0,0,201,93072,215.96183599793707,1,1,1,0,9,146610,0.8498328899802197,92770,0.15927562789694943,11.437878590647315,9.74700916569969,10.73393713153216,2.56153846153846,IA
19103,19,2017,0,0,140,93926,149.05351021016546,1,1,1,0,9,149221,0.8447202471502,93851,0.1572386016131954,11.4494636972589,9.782844180013784,10.74309160563336,2.43846153846154,IA
19105,19,2012,0,0,44,12041,365.4181546383191,1,0,0,0,9,20586,0.967987952977752,12010,0.24004995836802664,9.39349491507403,7.842278779117352,8.59711281459211,5.27692307692308,IA
19105,19,2013,0,0,50,11983,417.25778185763164,1,0,0,0,9,20484,0.9676820933411444,11934,0.2462711580358639,9.387146748082028,7.825644732219989,8.595079730073309,5.31538461538462,IA
19105,19,2014,0,0,47,11811,397.93412920159176,1,1,1,0,9,20496,0.96672521467603445,11948,0.2515065282892534,9.388319179336,7.81762544305337,8.592671652592143,4.91538461538462,IA
19105,19,2015,0,0,46,11727,392.2571842756033,1,1,1,0,9,20418,0.9637084925066118,11824,0.25651217861975645,9.377886643187985,7.8156105320351905,8.587092318795905,4.12307692307692,IA
19105,19,2016,0,0,30,11648,257.55494505494505,1,1,1,0,9,20360,0.9644400785854615,11691,0.26250962278675904,9.36657459400682,7.813995675002791,8.58858318750291,4.23846153846154,IA
19105,19,2017,0,0,24,11540,207.97227036395148,1,1,1,0,9,20565,0.962557743739363,11740,0.26218057921635435,9.370757093382087,7.829232537543592,8.58615939588096,3.59230769230769,IA
19107,19,2012,0,0,20,5706,350.5082369435682,1,0,0,0,9,10391,0.9894139158887498,5703,0.25810976678940906,8.648747631156539,6.98100574072173,7.91862865334224,5.5,IA
19107,19,2013,0,0,21,5673,370.17451084082495,1,0,0,0,9,10299,0.9885425769492184,5647,0.26314857446431733,8.638879709672837,6.9865664594064265,7.904703913873747,5.07692307692308,IA
