fips,obama_share_2008,obama_share_2012,votes_source
48179,0.14176810525021516,0.11990797130870212,mit_dataverse
48181,0.3056490093893617,0.25246072307401096,mit_dataverse
48183,0.30898850035203,0.2986966053918616,mit_dataverse
48185,0.3249218937755347,0.2719451226601558,mit_dataverse
48187,0.34040580687301153,0.3179706749606172,mit_dataverse
48189,0.27235240872975963,0.2533318274226338,mit_dataverse
48191,0.2563291139240506,0.23895401262398558,mit_dataverse
48193,0.22842773954473267,0.16638513513513514,mit_dataverse
48195,0.11417697431018078,0.08103975535168195,mit_dataverse
48197,0.23385579937304074,0.2020066889632107,mit_dataverse
48199,0.1902714713554246,0.15772174484669202,mit_dataverse
48201,0.5044781266645725,0.49390157203733853,mit_dataverse
48203,0.3397430996253536,0.323118074130684,mit_dataverse
48205,0.12594458438287154,0.09618400418191322,mit_dataverse
48207,0.33034026465028354,0.2747143566815698,mit_dataverse
48209,0.48145702093070514,0.4327498263035705,mit_dataverse
48211,0.1375796178343949,0.1272365805168986,mit_dataverse
48213,0.2729279481254096,0.22101567307344264,mit_dataverse
48215,0.690153229752875,0.7040076459301949,mit_dataverse
48217,0.28897482559902943,0.22847654628476546,mit_dataverse
48219,0.23505559189012426,0.2082982898794505,mit_dataverse
48221,0.22512834129934503,0.17053472376303527,mit_dataverse
48223,0.27324096292282685,0.2177526856425939,mit_dataverse
48225,0.3079777365491651,0.27574872169466763,mit_dataverse
48227,0.2626690060893797,0.24266820011500861,mit_dataverse
48229,0.47884187082405344,0.4391657010428737,mit_dataverse
48231,0.29108521880503996,0.23783379086598452,mit_dataverse
48233,0.15089601643647985,0.13181130171543895,mit_dataverse
48235,0.200734394124847,0.14213197969543148,mit_dataverse
48237,0.1554746940125703,0.10419532324621733,mit_dataverse
48239,0.25726715443939097,0.21293532338308457,mit_dataverse
48241,0.28631809643080774,0.2532366649404454,mit_dataverse
48243,0.3786407766990291,0.3691275167785235,mit_dataverse
48245,0.508380900607049,0.503999909734054,mit_dataverse
48247,0.7360881542699724,0.7804439112177565,mit_dataverse
48249,0.5775060282466414,0.5814078452444922,mit_dataverse
48251,0.257982017982018,0.21491461566812728,mit_dataverse
48253,0.2630853994490358,0.22022633375246992,mit_dataverse
48255,0.3887784404683013,0.31660692951015534,mit_dataverse
48257,0.3175700668658415,0.27320449956734927,mit_dataverse
48259,0.21491699510330825,0.17111848394534104,mit_dataverse
48261,0.5346534653465347,0.49101796407185627,mit_dataverse
48263,0.22098214285714285,0.16296296296296298,mit_dataverse
48265,0.24694094697641425,0.19827231591937475,mit_dataverse
48267,0.18556701030927836,0.11469344608879492,mit_dataverse
48269,0.049079754601226995,0.034482758620689655,mit_dataverse
48271,0.4081237911025145,0.3663157894736842,mit_dataverse
48273,0.5321992709599028,0.5337375098237341,mit_dataverse
48275,0.2682748538011696,0.21986754966887417,mit_dataverse
48277,0.28553534473368913,0.24312380066290631,mit_dataverse
48279,0.2554696132596685,0.24395013444145686,mit_dataverse
48281,0.24927953890489912,0.2053026096612993,mit_dataverse
48283,0.5923423423423423,0.586269744835966,mit_dataverse
48285,0.22728931047063117,0.17217265493127562,mit_dataverse
48287,0.31362709738121375,0.262337244815946,mit_dataverse
48289,0.20139184774889932,0.15291576673866092,mit_dataverse
48291,0.27702765190049017,0.22869955156950672,mit_dataverse
48293,0.3288029273392577,0.29194763982546607,mit_dataverse
48295,0.12340764331210191,0.10188356164383562,mit_dataverse
48297,0.2509578544061303,0.22343787989302213,mit_dataverse
48299,0.23366912451968014,0.19062565390249006,mit_dataverse
48301,0.1518987341772152,0.140625,mit_dataverse
48303,0.3125679250312711,0.28810975609756095,mit_dataverse
48305,0.29631379962192816,0.25829504849412965,mit_dataverse
48307,0.24186046511627907,0.17941864350150352,mit_dataverse
48309,0.3765092752968346,0.3446962074562992,mit_dataverse
48311,0.24581005586592178,0.13320079522862824,mit_dataverse
48313,0.2812960235640648,0.2400695134061569,mit_dataverse
48315,0.38664158043273755,0.3491359177954227,mit_dataverse
48317,0.18309037900874636,0.15270935960591134,mit_dataverse
48319,0.25742574257425743,0.19308943089430894,mit_dataverse
48321,0.3588458740806595,0.32803098986235885,mit_dataverse
48323,0.781972758021757,0.7860456309760485,mit_dataverse
48325,0.3270636080574442,0.29808710823104245,mit_dataverse
48327,0.28978388998035365,0.20141342756183744,mit_dataverse
48329,0.20968928509607063,0.18579725093616162,mit_dataverse
48331,0.36424554265884884,0.3202916160388821,mit_dataverse
48333,0.18282039503904457,0.1267605633802817,mit_dataverse
48335,0.24105306458247636,0.23229706390328153,mit_dataverse
48337,0.20088050314465408,0.143981421752032,mit_dataverse
48339,0.2325226326759457,0.19016480564717844,mit_dataverse
48341,0.2065477285267611,0.19338014042126378,mit_dataverse
48343,0.39157774390243905,0.3615489394823896,mit_dataverse
48345,0.1127946127946128,0.09166666666666666,mit_dataverse
48347,0.3588132187593519,0.3130295840797947,mit_dataverse
48349,0.3308620795294406,0.2831293933871388,mit_dataverse
48351,0.3328897338403042,0.28573862668256944,mit_dataverse
48353,0.30041477384949633,0.26579234972677596,mit_dataverse
48355,0.4732984293193717,0.4762757013235661,mit_dataverse
48357,0.0781601801222258,0.0845305713331106,mit_dataverse
48359,0.1108695652173913,0.08170310701956271,mit_dataverse
48361,0.2600149629327348,0.22281931974572383,mit_dataverse
48363,0.2526794742163802,0.1939595159044661,mit_dataverse
48365,0.25313234142521535,0.2161290322580645,mit_dataverse
48367,0.21901524472899417,0.16465383486392418,mit_dataverse
48369,0.19364395367627255,0.2071260767423649,mit_dataverse
48371,0.3680798004987531,0.3833734939759036,mit_dataverse
48373,0.3091964861779741,0.25394585554510296,mit_dataverse
48375,0.2978376037050611,0.269413988657845,mit_dataverse
48377,0.7125782583949914,0.7055586130985141,mit_dataverse
48379,0.2474032105760151,0.18620014680694885,mit_dataverse
48381,0.1826670782528168,0.15240663232453316,mit_dataverse
48383,0.1981891348088531,0.1874258600237248,mit_dataverse
48385,0.23034398034398035,0.18045602605863192,mit_dataverse
48387,0.30463182897862234,0.2920772566022862,mit_dataverse
48389,0.5219369515762106,0.5752519986096628,mit_dataverse
48391,0.4237963814780742,0.3728053791557714,mit_dataverse
48393,0.07915057915057915,0.06496062992125984,mit_dataverse
48395,0.3986587183308495,0.38397145601756555,mit_dataverse
48397,0.2648287906193476,0.2275912326924155,mit_dataverse
48399,0.18619084561675717,0.1414940021810251,mit_dataverse
48401,0.26615746180963573,0.23999784320069018,mit_dataverse
48403,0.22096840377513335,0.17627785058977719,mit_dataverse
48405,0.35746971736204575,0.32330623306233064,mit_dataverse
48407,0.3037508372404555,0.25062396006655574,mit_dataverse
48409,0.41381566647971585,0.39127403127801574,mit_dataverse
48411,0.19820919820919822,0.14298362107127047,mit_dataverse
48413,0.24846625766871167,0.21730580137659783,mit_dataverse
48415,0.19536721134853655,0.1666998209667794,mit_dataverse
48417,0.1382059800664452,0.09611151870873075,mit_dataverse
48419,0.27635574837310195,0.25010771219302025,mit_dataverse
48421,0.12450980392156863,0.11657032755298652,mit_dataverse
48423,0.2982114352509395,0.2695443524578837,mit_dataverse
48425,0.22615341069912256,0.17326172979084228,mit_dataverse
48427,0.8449754901960784,0.8634183287048726,mit_dataverse
48429,0.1775382870107771,0.1392145369284877,mit_dataverse
48431,0.1567043618739903,0.06275303643724696,mit_dataverse
48433,0.2802721088435374,0.23703703703703705,mit_dataverse
48435,0.2414448669201521,0.2478173270651444,mit_dataverse
48437,0.3207100591715976,0.2550660792951542,mit_dataverse
48439,0.4373219123924315,0.41426607081471295,mit_dataverse
48441,0.2675014228799089,0.22536578600651827,mit_dataverse
48443,0.3583815028901734,0.33153153153153153,mit_dataverse
48445,0.32219626168224297,0.28552170396333243,mit_dataverse
48447,0.19809069212410502,0.13407134071340712,mit_dataverse
48449,0.34018388318009735,0.29907386491981025,mit_dataverse
48451,0.2871259102956692,0.2531045751633987,mit_dataverse
48453,0.638692628371141,0.6014307970143933,mit_dataverse
48455,0.3167681421754155,0.2588612670408982,mit_dataverse
48457,0.2738305941845765,0.21792526783381239,mit_dataverse
48459,0.24993405433922447,0.19626106486986392,mit_dataverse
48461,0.24060150375939848,0.2561538461538462,mit_dataverse
48463,0.4706821811544604,0.45346769413159455,mit_dataverse
48465,0.5446177847113884,0.5202383908616837,mit_dataverse
48467,0.2208874724197107,0.16146596858638743,mit_dataverse
48469,0.3284888577060573,0.3050635982393512,mit_dataverse
48471,0.38305651310978794,0.3345999464811346,mit_dataverse
48473,0.46124580861490844,0.4096340083008427,mit_dataverse
48475,0.2495835646862854,0.25916795069337445,mit_dataverse
48477,0.2805870487584336,0.23484059178995625,mit_dataverse
48479,0.7144657311889964,0.7655670942781511,mit_dataverse
48481,0.34241919822444167,0.3006317881734933,mit_dataverse
48483,0.1398663697104677,0.10902255639097744,mit_dataverse
48485,0.3015962768039668,0.25659466575649714,mit_dataverse
48487,0.26524728321135504,0.24396984924623116,mit_dataverse
48489,0.6952885988170507,0.7109004739336493,mit_dataverse
48491,0.42733407826871966,0.3789711583808515,mit_dataverse
48493,0.32763045337895635,0.28020924149956405,mit_dataverse
48495,0.23474409448818898,0.23072463768115942,mit_dataverse
48497,0.21662871263142594,0.15526632923596048,mit_dataverse
48499,0.22548358074673863,0.173824014561174,mit_dataverse
48501,0.18307567127746135,0.19219924812030076,mit_dataverse
48503,0.1783709787816564,0.13559322033898305,mit_dataverse
48505,0.676552686671319,0.7132373694609089,mit_dataverse
48507,0.8418472652218782,0.8327402135231317,mit_dataverse
49001,0.21602231964926266,0.13515625,mit_dataverse
49003,0.17373281561548956,0.10222588623248145,mit_dataverse
49005,0.2490564211748766,0.1476367247535053,mit_dataverse
49007,0.44593030731644595,0.30064754856614245,mit_dataverse
49009,0.2984054669703872,0.18076923076923077,mit_dataverse
49011,0.27481019278281726,0.18079772691605614,mit_dataverse
49013,0.15860027855153203,0.09108010659978052,mit_dataverse
49015,0.21875,0.12789390874353787,mit_dataverse
49017,0.18758684576192683,0.14115490375802017,mit_dataverse
49019,0.506990434142752,0.43721518987341773,mit_dataverse
49021,0.1980547112462006,0.12861505299083886,mit_dataverse
49023,0.2049225663716814,0.11354481369587109,mit_dataverse
49025,0.2714013950538998,0.22070602195194305,mit_dataverse
49027,0.15994935640430472,0.08575407879029048,mit_dataverse
49029,0.16558519586637827,0.08766586904502936,mit_dataverse
49031,0.17669172932330826,0.09462915601023018,mit_dataverse
49033,0.15308151093439365,0.08242303872889771,mit_dataverse
49035,0.4865662860928827,0.3827851827794206,mit_dataverse
49037,0.46900584795321637,0.4030525720746184,mit_dataverse
49039,0.18595371109337588,0.10265004713522573,mit_dataverse
49041,0.1697264893218434,0.09146114760193333,mit_dataverse
49043,0.5670771610446784,0.4615736505032022,mit_dataverse
49045,0.3362750187460345,0.23487877057265977,mit_dataverse
49047,0.14402521919022757,0.08607441940775275,mit_dataverse
49049,0.18799076799827058,0.09724105721022097,mit_dataverse
49051,0.33899894502403,0.22849097924705392,mit_dataverse
49053,0.21857901431484586,0.15435458786936238,mit_dataverse
49055,0.2549467275494673,0.16201959306706856,mit_dataverse
49057,0.3497016104858708,0.26136842659922016,mit_dataverse
50001,0.6862459715147105,0.6843662758235622,mit_dataverse
50003,0.6547127398191228,0.6544648439720343,mit_dataverse
50005,0.6042911461162411,0.5996632750164702,mit_dataverse
50007,0.7144175455417067,0.6957187337830825,mit_dataverse
50009,0.5588519832312158,0.550035739814153,mit_dataverse
50011,0.6141192917054986,0.606244971842317,mit_dataverse
50013,0.6310611384399156,0.6211042944785276,mit_dataverse
50015,0.7036627723397537,0.6982816149482817,mit_dataverse
50017,0.6455629488108571,0.6458407457482388,mit_dataverse
50019,0.6262626262626263,0.6087068080738967,mit_dataverse
50021,0.6121706676787804,0.5972945576566815,mit_dataverse
50023,0.6932919254658385,0.6944074794417716,mit_dataverse
50025,0.7302437606411694,0.7305465651638784,mit_dataverse
50027,0.6880795764479384,0.6792571169727168,mit_dataverse
51001,0.48691032452153876,0.4769173260233007,mit_dataverse
51003,0.5843401851561274,0.5520062329567589,mit_dataverse
51005,0.48215497353779346,0.47441795622473165,mit_dataverse
51007,0.3810690764282432,0.3600867678958785,mit_dataverse
51009,0.4145578231292517,0.39412157648630597,mit_dataverse
51011,0.34613368283093054,0.30913673597983615,mit_dataverse
51013,0.7171298103546885,0.6910159172845385,mit_dataverse
51015,0.29470874077629133,0.2806783083867902,mit_dataverse
51017,0.42886513157894735,0.40215924426450744,mit_dataverse
51019,0.30747976555958695,0.2727855711422846,mit_dataverse
51021,0.2919905373436972,0.24932157394843962,mit_dataverse
51023,0.32707112489945994,0.2988871224165342,mit_dataverse
51025,0.6283800859236796,0.6213761353738957,mit_dataverse
51027,0.46519349667964277,0.32075471698113206,mit_dataverse
51029,0.49885616242493563,0.5028831969961111,mit_dataverse
51031,0.31343457038816147,0.29557129514321295,mit_dataverse
51033,0.5544546791547333,0.53296220334017,mit_dataverse
51035,0.3266555370061213,0.2852608762966403,mit_dataverse
51036,0.6833614254755599,0.6550094517958412,mit_dataverse
51037,0.4393373396134481,0.42438114615123773,mit_dataverse
51041,0.4584546666008588,0.45438276370271596,mit_dataverse
51043,0.46521329565334407,0.4172893584127802,mit_dataverse
51045,0.3346051125524609,0.31121109861267343,mit_dataverse
51047,0.44587406919608935,0.40992528820939095,mit_dataverse
51049,0.4773497036409822,0.47979397781299526,mit_dataverse
51051,0.48541389012290836,0.3581981460023175,mit_dataverse
51053,0.4844865032578343,0.4820075060710869,mit_dataverse
51057,0.5469798657718121,0.5314537444933921,mit_dataverse
51059,0.601175003002398,0.5956560429407863,mit_dataverse
