fips,year,crude_rate,population,death_supp
6017,2005,337.0007879173351,105341,0
6017,2006,309.14217729772264,106747,0
6017,2007,311.3377268617344,107279,0
6017,2008,279.97181740645976,107868,0
6019,2005,346.03981191094726,490406,0
6019,2006,348.5502157118491,498350,0
6019,2007,328.3305774662373,505588,0
6019,2008,324.07678066842055,513150,0
6021,2005,402.4012138003826,15159,0
6021,2006,450.71526553008033,15309,0
6021,2007,357.05011685276554,15404,0
6021,2008,321.52273165712813,15551,0
6023,2005,412.8167457898763,82361,0
6023,2006,415.4774377687055,83037,0
6023,2007,478.1001240410901,83037,0
6023,2008,488.8510801452175,83461,0
6025,2005,310.12859544690326,88028,0
6025,2006,302.0648447232358,90709,0
6025,2007,303.56338360543197,93226,0
6025,2008,259.26042552298185,95271,0
6027,2005,488.36541223786264,10443,0
6027,2006,438.22044393636276,10497,0
6027,2007,407.66021994690936,10548,0
6027,2008,475.1496721467262,10523,0
6029,2005,370.96200813484825,433198,0
6029,2006,385.969528252033,448481,0
6029,2007,358.7168855804078,459694,0
6029,2008,355.2185277880487,467881,0
6031,2005,262.35584383687046,89573,0
6031,2006,307.1642508908856,91482,0
6031,2007,336.2482005887029,93086,0
6031,2008,239.62171718247458,93898,0
6033,2005,605.6509395700959,36985,0
6033,2006,572.585155396948,37549,0
6033,2007,647.1371504660452,37550,0
6033,2008,548.6059578076963,37732,0
6035,2005,351.1443922663621,23637,0
6035,2006,243.78966836198563,23791,0
6035,2007,282.12155408673226,24812,0
6035,2008,335.8453473132372,24416,0
6037,2005,272.99148970414984,5927291,0
6037,2006,273.83576365244346,5928371,0
6037,2007,265.42724096451843,5924034,0
6037,2008,258.86978602996214,5957049,0
6039,2005,315.9735231672287,80070,0
6039,2006,324.5525201625203,81959,0
6039,2007,349.4362188839656,83277,0
6039,2008,317.06970801192557,84524,0
6041,2005,223.07347116629055,153761,0
6041,2006,218.05694289388987,153171,0
6041,2007,242.36580296702653,153487,0
6041,2008,220.82964198238574,153512,0
6043,2005,449.90158402849374,10669,0
6043,2006,459.9392880139821,10871,0
6043,2007,411.4097641250686,10938,0
6043,2008,514.9425287356322,10875,0
6045,2005,476.57771810049735,52877,0
6045,2006,417.9251913907411,52641,0
6045,2007,449.45532109392855,52508,0
6045,2008,417.9648909491603,52636,0
6047,2005,327.6906117394784,132442,0
6047,2006,321.7373818620551,134271,0
6047,2007,287.44271310724105,136375,0
6047,2008,305.87260878094145,137639,0
6049,2005,499.5374653098982,5405,0
6049,2006,473.8472753781666,5487,0
6049,2007,461.1695259177273,5421,0
6049,2008,587.1559633027523,5450,0
6051,2005,239.83429630437155,9173,0
6051,2006,182.59935553168637,9310,0
6051,2007,194.11193788417987,9273,0
6051,2008,150.0696752063458,9329,0
6053,2005,225.00923700281052,240879,0
6053,2006,249.17429658430535,239190,0
6053,2007,232.6679114608788,239397,0
