year,fips,state_abb,pop_total,pct_white,pop_20_64,pct_55_64,log_20_64,log_35_44,log_f_20_64,unemp
2005,2170,AK,74409,0.9011006733056485,44757,0.15756194561744533,10.709003136050958,9.358760377094455,9.974877548622802,7.653846153846154
2005,2180,AK,9338,0.19832940672520882,5178,0.14580919273850906,8.552174160311482,7.129297548929373,7.75833346749091,12.446153846153846
2005,2185,AK,8190,0.28205128205128205,5157,0.16986620127981383,8.548110294050959,7.069874128458572,7.553810852008231,9.076923076923077
2005,2188,AK,7416,0.14023732470334413,4031,0.14388489208633093,8.301769763117166,6.88653164253051,7.480992162869525,11.915384615384616
2005,2201,AK,5607,0.5666131621187801,3570,0.18907563025210083,8.180320874773685,6.6895992691789665,7.357556200910353,13.230769230769232
2005,2220,AK,8994,0.7235935067822993,5584,0.16994985673352436,8.627660644442209,7.156176637480615,7.919719760924575,5.638461538461538
2005,2232,AK,3265,0.6263399693721287,2170,0.21889400921658986,7.682482446534506,6.175867270105761,6.922643891475888,14.653846153846153
2005,2240,AK,6530,0.8344563552833079,3876,0.20098039215686275,8.262558973010657,6.829793737512425,7.470224135899966,10.676923076923076
2005,2261,AK,9914,0.7915069598547508,6341,0.19271408295221573,8.754791763700032,7.330405211844402,7.9676267393338165,9.784615384615385
2005,2270,AK,7313,0.04211677833994257,3372,0.12307236061684461,8.123261319121745,6.779921907472252,7.381501894506707,NA
2005,2280,AK,6151,0.7740204844740692,3753,0.20863309352517986,8.23031079913502,6.779921907472252,7.482681828154651,10.4
2005,2282,AK,665,0.49774436090225566,422,0.1943127962085308,6.045005314036012,4.709530201312334,5.123963979403259,11.438461538461539
2005,2290,AK,6000,0.24866666666666667,3426,0.19176882661996497,8.139148678884066,6.641182169740591,7.357556200910353,11.76923076923077
2005,1001,AL,49676,0.8102705531846365,28851,0.1744480260649544,10.269899933380591,8.988446040062405,9.6006918422743,3.7846153846153845
2005,1003,AL,160970,0.88626452133938,93786,0.22293306037148403,11.448770870123527,10.019535750898795,10.778518694158981,3.976923076923077
2005,1005,AL,28027,0.5157883469511543,17127,0.18596368307350966,9.748411444632369,8.313852267398207,8.928242677818302,5.746153846153846
2005,1007,AL,22042,0.7730242264767262,13499,0.17919845914512186,9.510370887608827,8.10892415597534,8.716371865276615,4.453846153846154
2005,1009,AL,54624,0.9749011423550088,32160,0.19947139303482586,10.378478723292902,9.004422601327041,9.68046899341007,3.5846153846153848
2005,1011,AL,11011,0.269185360094451,6652,0.1719783523752255,8.802672840312818,7.301822342137932,7.939515260662406,9.407692307692308
2005,1013,AL,20830,0.5704272683629381,11667,0.20356561241107396,9.364519622823858,7.861341795599989,8.728587995695898,6.423076923076923
2005,1015,AL,114477,0.7839216611197009,68374,0.18998449703103518,11.132747914388814,9.637044983076766,10.464245545050328,4.476923076923077
2005,1017,AL,35279,0.6016893902888404,20380,0.21216879293424926,9.922309306776716,8.464635940677562,9.2621735206162,5.7
2005,1019,AL,25031,0.9421117813910751,14924,0.24276333422674887,9.610725934341048,8.127699852817772,8.919586920999915,4.323076923076923
2005,1021,AL,41946,0.8887140609354884,24941,0.1908103123371156,10.12426831466115,8.683215975240689,9.434683203865875,3.876923076923077
2005,1023,AL,14545,0.5617738054314197,8294,0.22968410899445382,9.023287640806327,7.5443321080536885,8.364973978438726,6.538461538461538
2005,1025,AL,26764,0.5578015244358093,15040,0.2050531914893617,9.618468597503831,8.215006432761575,8.985820874482043,6.3538461538461535
2005,1027,AL,14077,0.8359735739148967,8076,0.21322436849925705,8.996651979432729,7.5883236773352225,8.32020459757888,4.923076923076923
2005,1029,AL,14368,0.956152561247216,8459,0.21054498167632107,9.042986242304014,7.6362696033793735,8.339739766019143,3.923076923076923
2005,1031,AL,45604,0.7900842031400754,26795,0.19712632953909312,10.19597058192895,8.752107198329362,9.50651131182387,3.8692307692307693
2005,1033,AL,54359,0.8267812137824463,31741,0.21354084622412653,10.365364499570234,8.934323331054905,9.702411219258526,5.376923076923077
2005,1035,AL,13421,0.5356530809924744,7628,0.2278447823807027,8.93958096672031,7.422971251049421,8.286269452783065,6.13076923076923
2005,1037,AL,11467,0.6628586378302956,6828,0.2255418863503222,8.828787083914332,7.406103381237015,8.136810863675537,4.992307692307692
2005,1039,AL,37204,0.866062788947425,21009,0.21757342091484602,9.952706196323627,8.487970332739334,9.283869605264298,4.484615384615385
2005,1041,AL,13699,0.7393970362800204,7742,0.21531903900800828,8.954415331137593,7.498315870766981,8.285513309079741,4.907692307692308
