"est_sdid_eq","est_sdid_wt","est_did_eq","est_did_wt","est_plac_wt","true_att_equal","true_att_weighted","config","gamma_trend","N1","gamma","hhi","sim"
1.06538800980606,1.56769394108262,0.699875934234114,1.2219666298729,0.0570825505517095,1,1.52748819824696,1,0,20,0.5,0.15,15
0.950135626038736,1.7716606043937,0.882437025454208,1.54172646764551,0.196150191315666,1,1.6752219231468,1,0,20,0.5,0.15,16
1.03391026121,2.28981064773377,1.01695700247077,2.26429312736277,-0.0567039519035313,1,2.14355546497091,1,0,20,0.5,0.15,17
1.08239442456762,2.29875019638517,1.22711308101435,1.97333510026656,-0.0383187427379717,1,2.13721923719452,1,0,20,0.5,0.15,18
1.02192864688031,1.65048539637418,1.14057381468718,1.59396725143974,-0.150399906156828,1,1.51331199228642,1,0,20,0.5,0.15,19
1.01700916858384,1.47841137192691,0.968943350236396,1.55758375137409,-0.194025948494374,1,1.51889562326261,1,0,20,0.5,0.15,20
1.07844246490379,2.35208403399446,0.856787154326665,1.9987589841592,0.143686547654393,1,2.17456115643065,1,0,20,0.5,0.15,21
0.940749278020179,1.82431409474324,0.740420283980105,1.41151281540179,0.255153734383474,1,1.84344931782287,1,0,20,0.5,0.15,22
1.04569331460097,1.71042951314542,0.905247136344653,1.57890987605935,-0.338677107689694,1,1.78240135836502,1,0,20,0.5,0.15,23
1.06374443198462,4.09030740221948,1.35132744739277,5.17288498420385,0.139895286791271,1,3.99595677524978,1,0,20,0.5,0.15,24
0.967924919636592,1.36636545527764,0.832977409678473,1.12950526763431,0.0354280093048074,1,1.35229098620298,1,0,20,0.5,0.15,25
1.01526661423024,2.37991350349218,0.961711336363155,2.5815890468683,0.064473853076942,1,2.46463305163778,1,0,20,0.5,0.15,26
0.907472406201651,2.80018801033654,0.794977870171539,2.71476003333153,0.271814267882249,1,2.94253713454276,1,0,20,0.5,0.15,27
0.995953401793943,1.91787340895932,0.999500894544623,2.00241972936711,0.0242547430951092,1,1.93182684032394,1,0,20,0.5,0.15,28
1.02824142325016,1.56229869288566,0.934203359342839,1.23596681407046,-0.0576437809057308,1,1.56003119485839,1,0,20,0.5,0.15,29
1.03859244039715,4.23634697495156,0.90646336011703,3.98701363013156,0.102105552821612,1,4.15129714615723,1,0,20,0.5,0.15,30
0.961046966166757,3.55267547933988,0.736317017336379,3.26514087254627,0.57171961002316,1,3.64640821126145,1,0,20,0.5,0.15,31
0.875652839133235,1.5881744060729,0.801283761996745,1.41598650357555,-0.281320670179822,1,1.6918896126685,1,0,20,0.5,0.15,32
1.12436157066826,1.47923582395546,1.27021932601324,1.54694048433374,0.102602831237519,1,1.49616926713703,1,0,20,0.5,0.15,33
0.931836121275309,2.01820268930458,0.826460610075259,1.96129163375856,0.00077725572395819,1,2.05764043520819,1,0,20,0.5,0.15,34
1.05159763639568,2.39719988505211,0.90885096293905,2.05850123198004,0.00881844896464468,1,2.38903431180014,1,0,20,0.5,0.15,35
0.991398876296109,1.45420375296491,1.29759891191883,1.6768599712982,0.06627053007359,1,1.44803016376002,1,0,20,0.5,0.15,36
1.10622541843262,1.6455055939026,1.22196532763576,1.80443680236775,-0.145929679684464,1,1.58775600398453,1,0,20,0.5,0.15,37
0.968842503595458,2.30815710018428,0.697796882375459,2.06791065654488,-0.0970241319274969,1,2.32426780455488,1,0,20,0.5,0.15,38
1.0225586831985,1.94576935810343,1.01989113975026,1.95528343968842,0.178251413202482,1,1.81678950847979,1,0,20,0.5,0.15,39
0.944922411949702,1.69337838703276,0.69165319985629,1.55481710053139,0.345073472675324,1,1.7522274087288,1,0,20,0.5,0.15,40
0.944713381117024,1.31425521914584,1.09284565623337,1.5104825488641,-0.023091085980773,1,1.38072271937192,1,0,20,0.5,0.15,41
0.993549903537644,3.59665197367286,0.999382129596156,3.62786084848117,-0.0266270991181501,1,3.36897654972253,1,0,20,0.5,0.15,42
0.853953554260838,1.69720288099186,0.857587439361084,1.65047540514997,0.0571845468194721,1,1.77482653280887,1,0,20,0.5,0.15,43
1.05452213013879,1.70895260966172,1.00633063451075,2.11380973995235,-0.0239245303824872,1,1.77099931316377,1,0,20,0.5,0.15,44
1.0347813671926,1.37932013123756,0.810762939356092,0.970018203337555,0.209204744054076,1,1.38075883994369,1,0,20,0.5,0.15,45
0.802024030849721,1.77342106746169,1.0308164283942,2.11112226564466,0.0740563018179501,1,1.84303513447959,1,0,20,0.5,0.15,46
0.947285874890984,1.7154284574568,1.0768107022094,2.08719923628168,-0.000996815737619422,1,1.80494007095441,1,0,20,0.5,0.15,47
0.979104628468691,1.56865761393077,0.733859416013851,1.28103075002271,0.00548361231146612,1,1.60586941169144,1,0,20,0.5,0.15,48
0.956753555759615,5.42292355020417,0.809923151363015,5.10922518407387,0.400338835832369,1,5.50405114984154,1,0,20,0.5,0.15,49
1.14744051977014,2.19258137135558,1.02737565835509,1.93218948923295,-0.0510756123407693,1,1.88179587836976,1,0,20,0.5,0.15,50
0.894183798848991,1.57189076334301,0.963334390549398,1.67974040130882,0.00600253290546729,1,1.80058805712867,1,0,20,0.5,0.15,51
1.01468202358317,1.48922819264257,0.973702577739615,1.47859863206068,0.041554854357619,1,1.56025144778426,1,0,20,0.5,0.15,52
0.993027833900516,1.40721489015313,0.964891024405349,0.983488413855337,-0.0775814562045788,1,1.4901066802604,1,0,20,0.5,0.15,53
1.04011318324271,1.90585607279086,0.773649170342559,1.69195759395644,-0.00154361513441903,1,1.99611955823552,1,0,20,0.5,0.15,54
1.13976786910141,1.49452459243434,0.745702205541843,0.841598282116294,0.0474038690482594,1,1.5186607366461,1,0,20,0.5,0.15,55
0.907525353391631,1.54822162784553,0.952058861598754,1.90197993280103,0.129778781113013,1,1.67392876514812,1,0,20,0.5,0.15,56
0.959567446182103,1.53866333246289,0.812664861881695,1.36055487963012,0.0975036561165184,1,1.64073922686873,1,0,20,0.5,0.15,57
1.00523194579828,1.65475190733608,0.94426423237911,1.49963453201393,-0.00436674077005951,1,1.62380030829785,1,0,20,0.5,0.15,58
0.910679013257884,1.73670770794371,0.936182084127647,1.74558240842556,0.0721318767896614,1,1.91546912903044,1,0,20,0.5,0.15,59
1.10191057808313,1.86522944604999,1.17393552335962,2.28299877013889,-0.24672873922868,1,1.68042209949367,1,0,20,0.5,0.15,60
0.981206530625037,1.75581122925408,0.980300049428284,1.73147209076366,-0.159802626125207,1,1.70914841479864,1,0,20,0.5,0.15,61
0.857623589870277,1.41743354051725,0.707956011485762,1.19590562776115,-0.124923530772878,1,1.58565007672048,1,0,20,0.5,0.15,62
0.931131657897386,2.33909729328631,0.473079572426487,2.05660494404613,-0.151405867525099,1,2.42985939722051,1,0,20,0.5,0.15,63
