"est_unwt","est_wt","se_boot_unwt","se_jk_unwt","se_plac_unwt","se_boot_wt","se_jk_wt","se_plac_wt","true_att_equal","true_att_weighted","config","N1","gamma","hhi","sim"
0.928466870600224,0.925414972726711,0.182671121274824,0.142208542598374,0.168032406755687,0.138720473176029,0.129947601969414,0.143147060502198,1,1,1,5,0,0.3,36
1.09212213589309,1.11696818328868,0.102816765044144,0.0945320274963926,0.171440492304757,0.100905520688119,0.145315486102358,0.161621646354474,1,1,1,5,0,0.3,37
0.908674317240341,0.860423840339408,0.10149667713921,0.119747403114303,0.143270384006302,0.109485710676055,0.050965230143409,0.138431000589459,1,1,1,5,0,0.3,38
1.07256731705954,1.22819772677824,0.199001283384769,0.201893290958561,0.199345877560304,0.202499237729029,0.332847823480824,0.209102350446451,1,1,1,5,0,0.3,39
1.00695857932901,0.924320965730671,0.168809220699695,0.200836404590583,0.148415955264207,0.146394443977036,0.0847705579043844,0.169780495209774,1,1,1,5,0,0.3,40
0.938618473952277,1.13285440912719,0.187907248648939,0.202412499423757,0.158443542449262,0.216239161857057,0.300067233432984,0.166300925222497,1,1,1,5,0,0.3,41
0.934807841122769,0.743964000940948,0.16760110783847,0.202312346523842,0.145233313417161,0.151898070575909,0.225427508516574,0.183042557297061,1,1,1,5,0,0.3,42
1.26307683397984,0.950791164338557,0.294578658778325,0.275271103808316,0.191939819232476,0.350172760835191,0.524903276253842,0.156594427855553,1,1,1,5,0,0.3,43
0.914529921587932,0.834807316677662,0.133937801836931,0.134232797455212,0.173667907092983,0.0961681407360377,0.0738243396084877,0.157480964496712,1,1,1,5,0,0.3,44
1.20367640337719,1.18320261511132,0.181501797010595,0.177431533892642,0.159256045995099,0.17603301427495,0.161541771935615,0.159015401438041,1,1,1,5,0,0.3,45
1.17257084543037,0.783188980277335,0.208496461565837,0.272182476505753,0.146664563748878,0.464883477762237,0.675668648883331,0.189398139194249,1,1,1,5,0,0.3,46
1.24442337946361,1.3429793740672,0.161061233246944,0.143318258360721,0.157507149810403,0.109155947655423,0.145325133140774,0.177614691305218,1,1,1,5,0,0.3,47
1.32179801990121,1.15544043171057,0.16308248218007,0.195853429760175,0.168473377727989,0.138898567946573,0.180899102661798,0.14539893810828,1,1,1,5,0,0.3,48
0.893947212173916,0.806395516625689,0.174137527927067,0.198872138044836,0.19597904408163,0.215611589788616,0.270057972499376,0.187943606605935,1,1,1,5,0,0.3,49
1.31907279093788,1.26837398603318,0.110296060500356,0.09649984163108,0.138858004223848,0.105747417190001,0.105143991061157,0.210500898027525,1,1,1,5,0,0.3,50
1.14093092698287,1.11348007559902,0.19360966714978,0.233634131928357,0.162694634991389,0.256845415090054,0.27594405137733,0.170974073863,1,1,1,5,0,0.3,51
1.00640301797738,0.99203077549737,0.145770745776662,0.152247417252035,0.170369453796752,0.172578527145279,0.218431647540702,0.139919161424365,1,1,1,5,0,0.3,52
1.04766922183054,0.879409535765589,0.164953144637646,0.186426073665773,0.163459050224003,0.113520272903167,0.152008111878174,0.197842077141275,1,1,1,5,0,0.3,53
1.08069975108468,1.16622527442733,0.157423116689899,0.148665323772125,0.14785427197832,0.192824242344101,0.260568767457032,0.164277090533182,1,1,1,5,0,0.3,54
1.42840398116054,1.80633432363354,0.198477950673308,0.203419582779083,0.140826583228502,0.285589008090075,0.417236660041957,0.15531088332371,1,1,1,5,0,0.3,55
1.14980826669491,1.16078711096153,0.102437691477801,0.112552248057055,0.164525167301608,0.103050459107799,0.0870415239084159,0.177257520491796,1,1,1,5,0,0.3,56
1.14745866060512,1.15725311716955,0.166343672773845,0.125723823449605,0.163004071071701,0.108625738228373,0.0806526552439684,0.140450772505125,1,1,1,5,0,0.3,57
0.741617174284789,0.658568030059879,0.148316870753232,0.138917263577958,0.12644420003394,0.107339116560685,0.106599157233342,0.130146704788162,1,1,1,5,0,0.3,58
0.839566026565515,0.938940735743655,0.188623781080507,0.208078264530696,0.176774349847142,0.182599065707835,0.164130778492402,0.148241750128258,1,1,1,5,0,0.3,59
0.94020378900851,0.924981853603836,0.269797848239908,0.270241118609272,0.185295767124904,0.280506556074334,0.262845732049194,0.153940357964852,1,1,1,5,0,0.3,60
1.18459107029463,0.986681498284566,0.170978818226299,0.176047915703089,0.142839279798582,0.192339437409804,0.306708353972797,0.171933670451134,1,1,1,5,0,0.3,61
0.847748738809833,0.719405899023812,0.16533189922228,0.22696770438183,0.168463518814757,0.209174276391227,0.24907063759391,0.151999568607255,1,1,1,5,0,0.3,62
1.07140376362927,1.11037382420853,0.186122485701641,0.17758501932391,0.150181324697802,0.146883829925242,0.229442333847989,0.136562756993977,1,1,1,5,0,0.3,63
1.15497120602297,1.10038082939298,0.202708168583004,0.211799555166389,0.189137358993336,0.207359233202007,0.183258285047128,0.167029969620341,1,1,1,5,0,0.3,64
1.370444389544,1.14058257352782,0.172180693060687,0.205295522308046,0.165199381205183,0.234668261510512,0.328132141038773,0.159422520110769,1,1,1,5,0,0.3,65
1.0430853868442,1.08964125845078,0.137362157309616,0.145969036352495,0.143628184515482,0.156539164522025,0.126342725842662,0.136312340473951,1,1,1,5,0,0.3,66
0.928556096154319,0.944822240352852,0.0985367998080076,0.118126873455786,0.131219373491493,0.112341667223068,0.142186037437464,0.140379464881354,1,1,1,5,0,0.3,67
1.0279400660721,1.01350311415132,0.0885533764234284,0.0795930154071801,0.153253618971307,0.113430452744821,0.12671767693078,0.13959412356996,1,1,1,5,0,0.3,68
0.833635019840972,0.691928006318143,0.239143031510117,0.206296074267995,0.146510309714006,0.233651039289712,0.278582583139518,0.153133937752347,1,1,1,5,0,0.3,69
1.15160767443185,1.01511246994491,0.112006666451273,0.124860224190049,0.190669126879675,0.178575401769477,0.294286254367605,0.180437249211662,1,1,1,5,0,0.3,70
1.25817868363784,1.12242730951826,0.0799991660573149,0.0727055362461992,0.135378147955746,0.113136674074149,0.202219893255861,0.144945791314926,1,1,1,5,0,0.3,71
0.781517952063431,0.725257534759574,0.110300854239635,0.120477338593052,0.138833822161789,0.139698861308347,0.180730169756754,0.162644079914647,1,1,1,5,0,0.3,72
1.29816366368023,1.39547212993772,0.153806560582484,0.116447517791876,0.181513960264883,0.16354823971318,0.0734198808114193,0.164022283451092,1,1,1,5,0,0.3,73
0.829455628709673,0.799095046242553,0.183527677334151,0.190368310453003,0.17096186236695,0.21838389172505,0.145661974499523,0.157240182800038,1,1,1,5,0,0.3,74
0.976805242416185,1.039120908971,0.175378700330664,0.165211051362157,0.137120356427869,0.162853879626173,0.155580197628211,0.163940456001041,1,1,1,5,0,0.3,75
1.2810531525156,1.39761717250434,0.240526651054336,0.277453133795064,0.187770884408972,0.272620958367813,0.1984187158847,0.188907829602563,1,1,1,5,0,0.3,76
0.916619441733766,0.951259769366648,0.138564134892485,0.146870362929189,0.152232809070565,0.118729998765243,0.0924026344878987,0.191789815950554,1,1,1,5,0,0.3,77
0.943111663406145,0.910238808574259,0.153783246475743,0.204091198743129,0.161739958503674,0.237839424621274,0.388868356352131,0.166014965741664,1,1,1,5,0,0.3,78
1.34190006752909,1.12692398595353,0.189934159471465,0.189907396868373,0.165009292793984,0.279119731352586,0.417279753602921,0.165948070040753,1,1,1,5,0,0.3,79
