fips,effect,pop
27169,9.690890188994814,31063
27171,-31.049943224710034,74287
27173,-17.34463849491111,5542
32001,6.796954189597557,13589
32003,-25.1754323255783,1230419
32005,-6.1512480369121505,26354
32007,-49.300906680462404,31540
32009,-173.7842926577818,472
32011,-173.7842926577818,1262
32013,63.1231204920381,10397
32015,-11.480760248090057,3470
32017,29.13937389618998,2879
32019,-22.027944860829848,28765
32021,-211.72481865110498,2539
32023,-21.54443849744098,22153
32027,-44.22958735053376,4512
32029,-95.01563688157418,2291
32031,-26.1449268093116,263341
32033,-40.901916250306996,6149
32510,63.011210794456645,31570
34001,0.5174270621818664,163994
34003,-32.773257673879726,554628
34005,-6.17345222604024,272236
34007,-9.457966327297939,308777
34009,11.079175622903382,54170
34011,44.00649846078442,95205
34013,-25.890003886634474,480651
34015,-11.714969197550147,175501
34017,-44.006684562626845,441344
34019,-3.293217052259962,76873
34021,-22.164803782980897,225894
34023,-36.33834730042949,510942
34025,-24.74048001578302,375678
34027,-28.569246899343284,298025
34029,-9.23989197250782,307903
34031,-29.161291402238845,302037
34033,-9.970111847215133,38183
34035,-23.46234548283863,199181
34037,-1.1765682824374721,89634
34039,-27.015788651821083,332229
34041,-3.510472120404245,64491
35001,11.133833598196475,408504
35003,-117.82773582210741,1826
35005,15.660141486570945,36082
35006,17.26343665583729,16203
35007,16.894568994216876,7275
35009,36.66236648160647,29537
35011,187.19247563309028,1005
35013,-35.86325280045118,120791
35015,-15.390223814702871,31814
35017,17.446314707953384,15483
35019,45.56108020965785,2718
35021,-28.01308431407881,360
35023,39.46378844682785,2517
35025,-3.638425745040209,38550
35027,110.20130437685779,10849
35028,-32.453140077291295,10278
35029,-33.332727007946716,12561
35031,104.29587366926216,41150
35033,-41.09421544429519,2675
35035,-13.565937200094506,37531
35037,38.327046471639164,4672
35039,65.93915612410234,23009
35041,0.13284915112828344,11450
35043,9.374343652185146,79370
35045,70.99226571609789,72651
35047,-24.437260269898985,16758
35049,-18.23399337842872,87821
35051,40.52252440236856,5761
35053,-12.283784207632976,9939
35055,30.193958330190817,19076
35057,-4.992619302835308,9039
35059,-23.13234341326899,2633
35061,0.22163317500979396,43981
36001,-28.320424277653103,189572
36003,17.71046306920833,27239
36005,-43.81692872269741,852287
36007,-1.9803815067987216,116217
36009,-17.445556799152797,45494
36011,-3.0842111150684133,47919
36013,23.616566060204406,77001
36015,20.17395655699228,52254
36017,6.9005869164418385,28643
36019,-15.797578546960153,51201
36021,5.347954818300536,36526
36023,-28.354560389242877,29157
36025,-31.27565571817248,26358
36027,-35.928096628561974,180467
36029,-6.25497947871628,552526
36031,-35.97677853849386,23179
36033,-19.955422675294002,32446
36035,2.6062691741390935,32430
36037,-14.22948647109952,35396
36039,-17.67002798615257,29087
36041,-75.18024037953606,2724
36043,23.709197625511962,36973
36045,-34.59409431602708,72790
36047,-56.168751019783855,1618535
36049,-11.19696715813717,15638
36051,-16.809728533215633,39227
36053,-20.275313939644718,42706
36055,-14.86571979363137,449712
36057,1.9137820746807392,28727
36059,-31.334780362970037,796137
36061,-51.120852386801204,1119920
36063,-2.52133539208603,128400
36065,3.6177436589335343,136923
36067,-2.0576786203394875,279088
36069,-19.896039695770014,64171
36071,-20.510956355127462,219300
36073,14.251706478837576,25774
36075,21.697601346704715,73164
36077,-20.690413666921785,36346
36079,-11.119107893017855,61074
36081,-40.12595449330152,1469120
36083,-25.166424594224125,98234
36085,-27.38717491057406,288191
36087,-37.385094986112676,176330
36089,-23.456328372607942,66311
36091,-11.713766191188967,136171
36093,2.8415426854242156,92720
36095,-0.12053004079339757,18649
36097,0.150018800025137,10983
36099,32.08825610985994,21364
36101,12.521805410813457,57370
36103,-13.49055582147713,896663
36105,-45.717197299987,45753
36107,8.376492346687158,29121
36109,-19.34285235302238,66029
36111,-4.431133814056622,111093
36113,28.713238791384512,38785
36115,-11.133480078068786,38173
36117,6.660743861714195,54734
36119,-36.925984829448765,568002
36121,12.704077571807375,26382
36123,-1.8436454617721267,13909
38001,-33.42605727837544,1301
38003,19.111105194700414,6294
38005,-28.310498385308847,3502
38007,71.9021658351181,557
38009,72.9446208521447,3693
38011,-76.14512866202485,1740
38013,-33.42605727837548,1318
38015,-20.816459867415034,53432
38017,-14.061758250156743,103993
38019,-66.67025825721309,2022
38021,-28.01617801615572,2701
38023,-33.426057278375424,1275
38025,-13.41669855212232,2551
38027,-33.42605727837545,1272
38029,152.5121647915264,1717
38031,-33.42605727837541,1822
38033,-33.42605727837544,1003
38035,-36.13052945456363,43961
38037,-33.42605727837544,1239
38039,-33.42605727837544,1183
38041,47.70242831472817,1379
38043,-87.68648075897863,1367
38045,-102.63148305578942,2154
38047,184.2861121716632,965
38049,-77.31871404516752,3302
38051,-33.42605727837545,1288
38053,-192.4974368830185,5565
38055,-44.30312927596752,5271
38057,107.73578249481162,5062
38059,-32.76841827183762,17326
38061,33.11454268393234,5771
38063,59.06998380870583,1602
38065,-33.42605727837547,1086
38067,35.43493320927489,4019
38069,19.9964377303679,2368
38071,-47.91838664220491,6552
38073,16.31435939797825,3001
38075,-33.42605727837545,1470
38077,40.6239619051705,9450
38079,-28.52554098844641,7812
38081,-24.046204691788276,2226
38083,35.85714125919867,677
38085,188.12563679298125,2312
38087,-10.846622817525486,429
38089,1.178441010603109,17181
38091,-114.8006203903522,1041
38093,39.33702945993409,12561
38095,-33.426057278375424,1244
38097,125.3267383784506,4597
38099,-13.077391024858283,6054
38101,-63.090882138907716,42240
38103,-31.97209147870997,2182
38105,-114.34292441326912,18564
39001,51.955529123943734,16113
39003,52.24902290797958,60995
39005,-14.887654038206122,29960
39007,19.625089329836733,58103
39009,-17.056009066771963,41108
39011,-45.021858556060366,26042
39013,42.51559225810857,42006
39015,28.95201447271897,25672
39017,33.912813121379635,219998
39019,27.49694095697871,16223
39021,26.97797128129328,22717
39023,58.85504752097957,77737
39025,7.32233615501157,119870
39027,-17.314634344415786,24398
39029,16.414474906034062,62582
39031,-62.54566014211606,20911
39033,66.861480627329,24206
39035,5.073596410733366,751732
39037,25.217292870435642,28902
39039,43.859272810434945,21964
39041,-35.83003047477675,108231
39043,57.57946684724033,43728
39045,-32.12457638301022,87438
39047,36.79060346894521,16643
39049,-13.099615458828694,762199
39051,-27.7819072864841,24395
39053,59.86370661287863,17614
39055,-0.6628463940626261,52052
39057,3.7257455001025903,97905
39059,10.41181792677061,22829
39061,19.927933508073153,482669
39063,29.266623713779524,44538
39065,-22.531911891621068,18246
39067,32.39956929235578,9025
39069,40.12943515161115,15928
39071,9.18729824883529,24540
39073,-59.91993711464417,16610
39075,-18.138514654854987,22475
39077,3.4169470330316116,33813
39079,61.97760278374963,19196
39081,-54.363243339321954,39651
39083,-15.637474707657368,34664
39085,2.559869875028866,135734
39087,112.66955666110903,36179
39089,-1.119918381497257,98653
39091,1.0515119408432199,26053
39093,4.686433599572297,176968
39095,20.27889204994593,261028
39097,4.713891001342418,27038
39099,-7.727797896055691,136056
39101,82.54756221321888,40369
39103,1.756101116412708,102852
39105,18.39752584786794,13789
39107,-13.725538437924698,22632
39109,-8.556450310908865,59539
39111,6.143161542520716,8172
39113,55.72578467962752,314262
39115,-43.44741607699866,8477
39117,-2.3441122944950195,20243
39119,-0.6274299239598962,49170
39121,26.91679074196439,8272
39123,18.978591056435896,23417
39125,-23.186073196975443,10968
39127,12.349101942300575,21063
39129,10.249744553189998,34197
39131,50.943290363951036,16433
39133,6.876181960265711,99878
39135,67.64743602444594,24079
39137,-10.439508848546296,19372
39139,49.0478237701863,70639
39141,6.836467498883422,47765
39143,41.90227478886458,34671
39145,62.14272461251113,46041
39147,-41.87784566125631,32385
39149,-9.134441335105514,28034
39151,35.356637502237945,218057
39153,27.036858775690547,323862
39155,38.009311673520095,119311
39157,0.7261497833076476,53055
39159,-16.24123561316452,32323
39161,18.778442533087855,16025
