omega,weighting
7.163315138599911e-4,Equally weighted
6.066759387368247e-4,Equally weighted
5.812257478015129e-4,Equally weighted
6.084764067617491e-4,Equally weighted
6.025963368131901e-4,Equally weighted
6.260480661974848e-4,Equally weighted
6.264795523896464e-4,Equally weighted
6.058671803122162e-4,Equally weighted
6.190806205589505e-4,Equally weighted
6.412383216621155e-4,Equally weighted
5.401972436214384e-4,Equally weighted
5.909621650125108e-4,Equally weighted
5.732403570774853e-4,Equally weighted
5.795732126956935e-4,Equally weighted
6.362203366516549e-4,Equally weighted
0.0010919562158017632,Equally weighted
6.083077550963386e-4,Equally weighted
6.490247731715445e-4,Equally weighted
6.244398176347388e-4,Equally weighted
6.121746514073643e-4,Equally weighted
6.553426097814588e-4,Equally weighted
6.435728310294628e-4,Equally weighted
5.690967049564462e-4,Equally weighted
6.278893751352489e-4,Equally weighted
7.087417509915829e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.08192516831616e-4,Equally weighted
6.36088142626034e-4,Equally weighted
5.57679830360011e-4,Equally weighted
5.801213099687115e-4,Equally weighted
6.126888511974382e-4,Equally weighted
5.72899522418629e-4,Equally weighted
7.089433331162705e-4,Equally weighted
6.101912845727567e-4,Equally weighted
5.721297282219576e-4,Equally weighted
6.376914370263404e-4,Equally weighted
6.210653652643866e-4,Equally weighted
6.079965861653547e-4,Equally weighted
6.224849000200336e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.61565614837203e-4,Equally weighted
5.772076674002685e-4,Equally weighted
6.222543470067963e-4,Equally weighted
5.69553830101799e-4,Equally weighted
6.208808576890127e-4,Equally weighted
6.681188822464938e-4,Equally weighted
6.836526275738803e-4,Equally weighted
5.800341956204851e-4,Equally weighted
6.195309506636273e-4,Equally weighted
5.858563938733611e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.188324873703469e-4,Equally weighted
6.325536922045336e-4,Equally weighted
6.113041438917629e-4,Equally weighted
7.752616912234103e-4,Equally weighted
5.914443638045913e-4,Equally weighted
5.875023881030464e-4,Equally weighted
6.015472905227504e-4,Equally weighted
5.542902696517449e-4,Equally weighted
6.033472661020193e-4,Equally weighted
5.838917326373371e-4,Equally weighted
6.064530138086522e-4,Equally weighted
5.800798487365148e-4,Equally weighted
6.065761498072519e-4,Equally weighted
5.790209510728578e-4,Equally weighted
5.721659258937087e-4,Equally weighted
5.716482906524919e-4,Equally weighted
6.100756895488711e-4,Equally weighted
5.542254287057883e-4,Equally weighted
5.542439751533896e-4,Equally weighted
5.846981559137453e-4,Equally weighted
7.008860661297986e-4,Equally weighted
6.037454402685095e-4,Equally weighted
5.554070907847458e-4,Equally weighted
5.765727234811705e-4,Equally weighted
5.98915141808937e-4,Equally weighted
6.214892287793516e-4,Equally weighted
5.3718412643124e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.133488613818006e-4,Equally weighted
5.855744626080079e-4,Equally weighted
5.545502738660461e-4,Equally weighted
5.797786964269569e-4,Equally weighted
5.840419551156609e-4,Equally weighted
6.131341719758683e-4,Equally weighted
6.104689750059494e-4,Equally weighted
6.478955365922745e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.144706071751653e-4,Equally weighted
6.258620985770992e-4,Equally weighted
6.105739523104405e-4,Equally weighted
6.343439468040918e-4,Equally weighted
5.525554536129814e-4,Equally weighted
5.145909918276755e-4,Equally weighted
6.156418319178836e-4,Equally weighted
4.96918075335144e-4,Equally weighted
5.84816657354777e-4,Equally weighted
5.578263416878103e-4,Equally weighted
6.077073233621396e-4,Equally weighted
6.29163996438922e-4,Equally weighted
7.171166954973345e-4,Equally weighted
5.380781837965552e-4,Equally weighted
6.031990481320282e-4,Equally weighted
6.729552728749897e-4,Equally weighted
5.521467589732306e-4,Equally weighted
6.117529294106938e-4,Equally weighted
5.90513308182008e-4,Equally weighted
7.8565532268298e-4,Equally weighted
5.869957950881207e-4,Equally weighted
4.96918075335144e-4,Equally weighted
6.077758221197696e-4,Equally weighted
6.962774200360288e-4,Equally weighted
6.112553793279802e-4,Equally weighted
6.112900115526062e-4,Equally weighted
5.729574243149478e-4,Equally weighted
6.223027685881826e-4,Equally weighted
5.138708227710916e-4,Equally weighted
6.112081585134277e-4,Equally weighted
5.873969747365657e-4,Equally weighted
