weighting,county_rank,county_fips,pop_weight,estimate,se
Equally weighted,17,36103,0.008841220470465812,-0.6991582597723713,3.5708424301633435
Equally weighted,18,6067,0.008714803647588273,-0.6874208624718285,3.5207555337934933
Equally weighted,19,36005,0.00840366700880029,-0.6729153765622549,3.5802192855304567
Equally weighted,20,36059,0.007850020288218918,-0.683806812296563,3.673995973757146
Equally weighted,21,39049,0.007515386941770287,-0.6991367731345122,3.6889632409058457
Equally weighted,22,27053,0.007448485908838059,-0.6862024089228917,3.6435326867350186
Equally weighted,23,39035,0.0074121808825659205,-0.7125636174918029,3.5346114915971056
Equally weighted,24,26125,0.0073576937627452136,-0.6907231104570215,3.429261588988217
Equally weighted,25,6013,0.006464996354115559,-0.6749773146215752,3.4404169686693784
Equally weighted,26,24031,0.006099510637431859,-0.6986505529907028,3.5546302632162905
Equally weighted,27,15003,0.005863882931612926,-0.6854619307469108,3.560503303906586
Equally weighted,28,6075,0.005837083077890038,-0.6618705355378154,3.720864513980855
Equally weighted,29,4019,0.005656366477804278,-0.6954669229589108,3.7654073557608156
Equally weighted,30,36119,0.005600577819833675,-0.678965553830345,3.735941249668252
Equally weighted,31,17043,0.005566826569173834,-0.6851254882925168,3.7602753900125347
Equally weighted,32,24033,0.005556650907274636,-0.6836154279617332,3.805244269827593
Equally weighted,33,9001,0.0054790417650182515,-0.688191109584249,3.78666427564221
Equally weighted,34,34003,0.005468708340919066,-0.6821601226360023,3.7953948347959856
Equally weighted,35,36029,0.005447982331895699,-0.7058135145378053,3.729998543672214
Equally weighted,36,6019,0.005370343609226817,-0.6917934307614289,3.728073755771762
Equally weighted,37,9003,0.0053095755818191055,-0.6946072121158018,3.5896146586478
Equally weighted,38,9009,0.005120024298534042,-0.6961644125450839,3.5852220185939188
Equally weighted,39,26099,0.005087505565061604,-0.7035800362660787,3.61180149233876
Equally weighted,40,34023,0.0050379583741280085,-0.6797906442806081,3.714046238963765
Equally weighted,41,25025,0.005037425926703051,-0.6775208687293635,3.627847001707747
Equally weighted,42,41051,0.00501726194551714,-0.6749572359282539,3.7324426127655945
Equally weighted,43,53053,0.004939554201885763,-0.6923879109431468,3.7086264941209235
Equally weighted,44,6111,0.0049272093097367355,-0.6791285721891178,3.754704855989259
Equally weighted,45,6029,0.0049152391028126794,-0.7069917612105883,3.769373694268019
Equally weighted,46,24005,0.00487588729405328,-0.7215712924116993,3.792619761556758
Equally weighted,47,25027,0.004857793941742206,-0.7206601293321349,3.8141437682444623
Equally weighted,48,39061,0.004759182706612477,-0.7265229715992696,3.8021513792360415
Equally weighted,49,34013,0.004739284949139044,-0.6864286394762829,3.7507062289689963
Equally weighted,50,53061,0.004610038266799229,-0.6841677766570271,3.715032180896562
