fips,effect,pop
36011,-2.6482359230879524,47919
36013,30.836428345012024,77001
36015,19.77438825749944,52254
36017,5.441779552536005,28643
36019,-16.721025127212613,51201
36021,1.349038157703248,36526
36023,-19.347068660391912,29157
36025,-34.72349852712131,26358
36027,-35.30702565902783,180467
36029,-10.475872527705278,552526
36031,-26.56614167849959,23179
36033,-19.792980535215165,32446
36035,3.5211973069816906,32430
36037,-6.005848107840549,35396
36039,-25.848530264098358,29087
36041,-48.43519732485568,2724
36043,18.91019754761865,36973
36045,-32.936670525136805,72790
36047,-71.84683632448903,1618535
36049,-6.7228441327596045,15638
36051,-17.585253383367842,39227
36053,-18.062821418517217,42706
36055,-17.72486890051138,449712
36057,-0.983765253960641,28727
36059,-37.19214930756675,796137
36061,-66.58609865668558,1119920
36063,-0.9303614965976763,128400
36065,0.742484520824874,136923
36067,-5.114272252140893,279088
36069,-15.45816351152024,64171
36071,-25.230843237615687,219300
36073,20.85071607903572,25774
36075,19.732229519618613,73164
36077,-24.555576285123962,36346
36079,-9.629476321117806,61074
36081,-48.96394664030342,1469120
36083,-26.316746247802243,98234
36085,-35.106904587004806,288191
36087,-42.990672943959765,176330
36089,-36.25814867905086,66311
36091,-16.855026839623378,136171
36093,3.819404927888428,92720
36095,3.4248339393828218,18649
36097,15.663907121163405,10983
36099,29.194334844433925,21364
36101,5.983301866673187,57370
36103,-16.897829778980963,896663
36105,-43.93316409015986,45753
36107,9.500365682727306,29121
36109,-16.9937538553703,66029
36111,-8.071491203163674,111093
36113,13.516770082352082,38785
36115,-16.553827174676115,38173
36117,8.000234129714329,54734
36119,-45.36838428047545,568002
36121,12.758034836933007,26382
36123,-1.9283981690413157,13909
38001,-31.95345450497291,1301
38003,25.575151272740868,6294
38005,16.578054015064197,3502
38007,36.719589217534605,557
38009,84.08067314367271,3693
38011,-84.4620228552219,1740
38013,-31.95345450497291,1318
38015,-17.190301009214778,53432
38017,-12.314305430996484,103993
38019,-71.39038438473514,2022
38021,-24.570694964373757,2701
38023,-31.953454504972882,1275
38025,3.187726755393598,2551
38027,-31.95345450497291,1272
38029,111.03938680933909,1717
38031,-31.953454504972882,1822
38033,-31.95345450497291,1003
38035,-32.53021096873189,43961
38037,-31.953454504972882,1239
38039,-31.95345450497291,1183
38041,26.839583733419033,1379
38043,-95.3047457069317,1367
38045,-84.4610504218576,2154
38047,210.77777208099667,965
38049,-72.70066315872536,3302
38051,-31.95345450497291,1288
38053,-169.42620140815984,5565
38055,-19.705048672073097,5271
38057,110.7756413055695,5062
38059,-38.41321993354974,17326
38061,5.145699892598486,5771
38063,36.398713013313355,1602
38065,-31.95345450497291,1086
38067,28.399105776172206,4019
38069,19.889181179187503,2368
