weighting,county_rank,county_fips,pop_weight,estimate,se
Equally weighted,9,6065,0.012935455224405687,0.5411745498779901,4.4478516815795155
Equally weighted,10,6071,0.012187425753164631,0.5380967124774365,4.298775229416185
Equally weighted,11,32003,0.01213210052165649,0.5430242860766548,4.426255936307043
Equally weighted,12,6085,0.011422446705562412,0.5511060795996698,4.440604187615639
Equally weighted,13,36061,0.011042565188129846,0.5711135092982147,4.460246980892504
Equally weighted,14,26163,0.010430911278640544,0.5225068662741137,4.533108293267289
Equally weighted,15,6001,0.009898030007632536,0.5677902305728786,4.494127628267445
Equally weighted,16,25017,0.009566827989033634,0.5420317521189055,4.359279139406732
Equally weighted,17,36103,0.008841220470465812,0.5293843125533506,4.325782435110072
Equally weighted,18,6067,0.008714803647588273,0.541025135864313,4.277271500443241
Equally weighted,19,36005,0.00840366700880029,0.5633895112191851,4.311126135676592
Equally weighted,20,36059,0.007850020288218918,0.5468087754857507,4.391532810048535
Equally weighted,21,39049,0.007515386941770287,0.5298050431242984,4.376309319582417
Equally weighted,22,27053,0.007448485908838059,0.5441372028947455,4.361227694747597
Equally weighted,23,39035,0.0074121808825659205,0.512699565638723,4.2585150806548295
Equally weighted,24,26125,0.0073576937627452136,0.5368223285868581,4.065592143151098
Equally weighted,25,6013,0.006464996354115559,0.556144371080034,4.0952537266862965
Equally weighted,26,24031,0.006099510637431859,0.5323190056185432,4.21947504522323
Equally weighted,27,15003,0.005863882931612926,0.5425931059140545,4.293398314004664
Equally weighted,28,6075,0.005837083077890038,0.575016257578806,4.489486657376998
Equally weighted,29,4019,0.005656366477804278,0.536931668249963,4.582501719750053
Equally weighted,30,36119,0.005600577819833675,0.5533955087428062,4.574527634501985
Equally weighted,31,17043,0.005566826569173834,0.5406543322992192,4.609618557460333
Equally weighted,32,24033,0.005556650907274636,0.5479125637697173,4.593599230547043
Equally weighted,33,9001,0.0054790417650182515,0.5432926763044854,4.574237140014641
Equally weighted,34,34003,0.005468708340919066,0.54798095893549,4.547382463019536
Equally weighted,35,36029,0.005447982331895699,0.5201862747123549,4.448060404156814
Equally weighted,36,6019,0.005370343609226817,0.5376851832357552,4.389517502559955
Equally weighted,37,9003,0.0053095755818191055,0.5336428680885277,4.260450089680065
Equally weighted,38,9009,0.005120024298534042,0.5313613458417947,4.217378021024592
Equally weighted,39,26099,0.005087505565061604,0.518534613166107,4.279720484244733
Equally weighted,40,34023,0.0050379583741280085,0.5475288435162113,4.386662960073372
Equally weighted,41,25025,0.005037425926703051,0.5541247651652021,4.3402298586861665
Equally weighted,42,41051,0.00501726194551714,0.5559208894618557,4.473490793488702
Equally weighted,43,53053,0.004939554201885763,0.5383774177514091,4.48936673443886
Equally weighted,44,6111,0.0049272093097367355,0.5501327068524695,4.56598677364648
Equally weighted,45,6029,0.0049152391028126794,0.525448960284205,4.557791239793732
Equally weighted,46,24005,0.00487588729405328,0.510361712973495,4.653318591517819
Equally weighted,47,25027,0.004857793941742206,0.506341432671416,4.689374867493176
Equally weighted,48,39061,0.004759182706612477,0.5024016400100031,4.6765344783121785
Equally weighted,49,34013,0.004739284949139044,0.5512911057821164,4.562406120177339
Equally weighted,50,53061,0.004610038266799229,0.541188172077522,4.558671353626544
